k,a,b,m,f_a,f_b,f_m,b-a
0,-4,-3,-3.5,-0.738486856419194,0.19090707642773116,-0.32058584426730136,1
1,-3.5,-3,-3.25,-0.32058584426730136,0.19090707642773116,-0.06942092669838637,0.5
2,-3.25,-3,-3.125,-0.06942092669838637,0.19090707642773116,0.060528825852755326,0.25
3,-3.25,-3.125,-3.1875,-0.06942092669838637,0.060528825852755326,-0.004616293886982148,0.125
4,-3.1875,-3.125,-3.15625,-0.004616293886982148,0.060528825852755326,0.027928314698295282,0.0625
5,-3.1875,-3.15625,-3.171875,-0.004616293886982148,0.027928314698295282,0.01164719657871718,0.03125
6,-3.1875,-3.171875,-3.1796875,-0.004616293886982148,0.01164719657871718,0.003513019573906047,0.015625
7,-3.1875,-3.1796875,-3.18359375,-0.004616293886982148,0.003513019573906047,-0.00055227364047606,0.0078125
8,-3.18359375,-3.1796875,-3.181640625,-0.00055227364047606,0.003513019573906047,0.0014802174133698026,0.00390625
9,-3.18359375,-3.181640625,-3.1826171875,-0.00055227364047606,0.0014802174133698026,0.0004639325521556964,0.001953125
10,-3.18359375,-3.1826171875,-3.18310546875,-0.00055227364047606,0.0004639325521556964,-4.418043347738376e-05,0.0009765625
